,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
1367,"Tim Burton's The Nightmare Before Christmas: The Pumpkin King NA, JP, PAL• L'Etrange Noël de Monsieur Jack: Le Roi des Citrouilles FR• Pesadilla antes de Navidad de Tim Burton: El Rey Calabaza ES",,2005,TOSE,Buena Vista Interactive,"NA, JP, PAL"
1368,Tiny Toon Adventures: Scary Dreams NA• Tiny Toon Adventures: Buster's Bad Dream PAL,,2002,Treasure Co. Ltd,Swing! Entertainment,"NA, PAL"
1369,Tiny Toon Adventures: Wacky Stackers,,2001,Warthog,Conspiracy Games,"NA, PAL"
1370,Tir et But: Edition Champions du Monde,,2002,,Titus Software,PAL
1371,Titeuf: Ze Gag Machine,,2002,3D Lights,Infogrames,PAL
1372,Titeuf: Méga Compet,,2004,DREAM ON STUDIO,Atari,PAL
1373,"TMNT NA, PAL• TMNT: Les Tortues Ninja FR• TMNT: Tortugas Ninja Jóvenes Mutantes ES• TMNT: Tartarughe Ninja IT",,2007,Ubisoft Montreal,Ubisoft,"NA, PAL, AUS"
1374,TOCA World Touring Cars,,2003,Codemasters,Ubisoft,PAL
1375,Tokimeki Dream Series 1: Ohanaya-san ni Narou!,,2002,,MTO,JP
1376,Tokyo Majin Gakuen: Fuju Houroku,,2004,,Marvelous Entertainment,JP
1377,Tokyo Xtreme Racer Advance,,2005,David A. Palmer Productions,Crave,JP
1378,Tom and Jerry Tales,,2006,Sensory Sweep Studios,Warner Bros. Interactive Entertainment,"NA, PAL"
1379,Tom and Jerry: Infurnal Escape,,2003,CineGroupe,NewKidCo,"NA, PAL"
1380,"Tom and Jerry: The Magic Ring NA, PAL• Tom und Jerry: Der Magische Ring DE• Tom e Jerry: l'Anello Incantato IT",No,2001,Cave Barn Studios,NewKidCo,"NA, PAL"
1381,Tom Clancy's Rainbow Six: Rogue Spear,Yes,2002,Ubisoft Milan,Ubisoft,"NA, PAL"
1382,Tom Clancy's Splinter Cell,No,2003,Ubisoft Montreal,Ubisoft,"NA, PAL"
1383,Tom Clancy's Splinter Cell: Pandora Tomorrow,No,2004,Ubisoft,Ubisoft,"NA, PAL"
1384,Tomato Adventure,,2002,Graphic Research,Nintendo,JP
1385,Lara Croft: Tomb Raider: Legend,No,2006,Core Design,Eidos Interactive,"NA, PAL"
1386,Lara Croft: Tomb Raider: The Prophecy,No,2002,Core Design,Eidos Interactive,"NA, JP, PAL"
1387,Tonka: On The Job,,2006,Webfoot Technologies,THQ,
1388,Tony Hawk's American Sk8land,,2005,Vicarious Visions,Activision,"NA, PAL"
1389,Tony Hawk's Downhill Jam,,2006,Vicarious Visions,Activision,"NA, PAL"
1390,"Tony Hawk's Pro Skater 2 NA, PAL• SK8: Tony Hawk no Pro Skater 2 JP",,2001,Vicarious Visions,Activision,"NA, JP, PAL"
1391,Tony Hawk's Pro Skater 3,Yes,2002,Vicarious Visions,Activision,"NA, PAL"
1392,Tony Hawk's Pro Skater 4,,2002,Vicarious Visions,Activision,"NA, PAL"
1393,Tony Hawk's Underground,,2003,Vicarious Visions,Activision,"NA, PAL"
1394,Tony Hawk's Underground 2,,2004,Vicarious Visions,Activision,"NA, PAL"
1395,"Top Gear GT Championship NA, PAL• Zen Nihon GT Senshuken JP",,2001,Kemco,Kemco,"NA, JP, PAL"
1396,"Top Gear Rally NA, PAL• Top Gear Rally SP JP",,2003,Tantalus Interactive,Nintendo,"NA, JP, PAL"
1397,Top Gun: Combat Zones,,2004,Titus Software,Titus Software,
1398,Top Gun Firestorm Advance,,2002,Titus Software,Titus Software,
1399,Top Spin 2,,2006,Magic Pockets,2K Sports,"NA, PAL"
1400,Totally Spies!,,2005,Mistic Software,Atari,"NA, PAL"
1401,Totally Spies! 2: Undercover,,2006,Mistic Software,Atari,"NA, PAL"
1402,Toukon Heat,,2002,,Pacific Century Cyber Works,JP
1403,The Tower SP,,2005,Vivarium,Nintendo,"NA, JP"
1404,Toy Robo Force,,2001,Global A,Global A,JP
1405,Trick Star,No,2006,Tantalus,Liquid Games,PAL
1406,Tringo,Yes (SPM),2006,Crave,Crave,"NA, PAL"
1407,Trollz: Hair Affair!,,2005,Powerhead Games,Ubisoft,"NA, PAL"
1408,Tron 2.0: Killer App,,2004,Digital Eclipse,Buena Vista Games,"NA, PAL"
1409,Turbo Turtle Adventure,,2002,Iridon Interactive AB,Majesco Entertainment,
1410,Turok: Evolution,,2002,RFX Interactive,Acclaim,"NA, PAL"
1411,"Tweety & the Magic Gems NA, PAL• Tweety no Hearty Party JP• Titi et les Bijoux Magiques FR",,2001,Kemco,Kemco,"NA, JP, PAL"
1412,Twin Series Vol. 1: Mezase Debut! Fashion Designer Monogatari + Kawaii Pet Game Gallery 2,,2004,,Culture Brain,JP
1413,Twin Series Vol. 2: Oshare Princess 4 + Renai Uranai Daisakusen,,2004,,Culture Brain,JP
1414,Twin Series Vol. 3: Konchuu Monster: Ouja Ketteisen + Super Chinese Labyrinth,,2004,,Culture Brain,JP
1415,Twin Series Vol. 4: Ham Ham Monster EX/Fantasy Puzzle Hamster Monogatari,,2004,,Culture Brain,JP
1416,Twin Series Vol. 5: Wan Wan Meitantei EX/Mahou no Kuni no Keaki-Okusan Monogatari,,2004,,Culture Brain,JP
1417,Twin Series Vol. 6: Wan Nyon Idol Gakuen/Koinu Toissho Special,,2004,,Culture Brain,JP
1418,Twin Series Vol. 7: Twin Puzzle: Kisekae Wanko EX + Nyaa to Chuu no Rainbow Magic 2,,2004,,Culture Brain,JP
1419,"Ty the Tasmanian Tiger 2: Bush Rescue NA, PAL• Ty le Tigre de Tasmanie 2: Opération Sauvetage FR",No,2004,Krome Studios,Electronic Arts,"NA, PAL"
1420,Ty the Tasmanian Tiger 3: Night of the Quinkan,,2005,Krome Studios,Activision Value,
1421,Uchuu no Stellvia,,2004,King Records,King Records,JP
1422,Uchuu Daisakusen Chocovader: Uchuu kara no Shinryakusha,,2002,Namco,Namco,JP
1423,Ueki no Hōsoku: Jingi Sakuretsu! Nōryokusha Battle,,2006,Banpresto,Banpresto,JP
1424,Ultimate Arcade Games,,2005,Nocturnal Entertainment,"Telegames, Inc.",
1425,Ultimate Beach Soccer NA• Pro Beach Soccer PAL,,2003,Magic Pockets,DreamCatcher Interactive NA / Wanadoo PAL,"NA, PAL"
1426,Ultimate Brain Games,Yes (SPM),2003,Cosmigo,"Telegames, Inc.",
1427,Ultimate Card Games,Yes (SPM),2004,Cosmigo,"Telegames, Inc.",
1428,Ultimate Muscle: The Path of the Superhero NA• Kinnikuman II Sei: Seigi Choujin e no Michi JP,,2002 (JP)2003 (NA),Banpresto,Bandai NA / Banpresto JP,"NA, JP"
1429,Ultimate Puzzle Games,,2005,"Telegames, Inc.","Telegames, Inc.",
1430,Ultimate Spider-Man,,2005,Vicarious Visions,Activision,"NA, PAL"
1431,Ultimate Winter Games,Yes (SPM),2004,Sproing Interactive Media,"Telegames, Inc.",
